Date,Monthly Man Days
Aug-20,"9,265"
Jul-20,"11,625"
Jun-20,"14,383"
May-20,"13,866"
Apr-20,"17,710"
Mar-20,"13,950"
Feb-20,"24,764"
Jan-20,"28,850"
Dec-19,"28,364"
Nov-19,"27,336"
Oct-19,"29,252"
Sept-19,"28,381"
Aug-19,"27,632"
Jul-19,"26,812"
Jun-19,"29,921"
May-19,"3,112"
Apr-19,"29,640"
Mar-19,"31,314"
Feb-19,"28,533"
Jan-19,"29,650"
Dec-18,"30,126"
Nov-18,"28,184"
Oct-18,"29,161"
Sept-18,"27,393"
Aug-18,"27,627"
Jul-18,"26,689"
Jun-18,"27,285"
May-18,"25,537"
Apr-18,"26,999"
Mar-18,"28,779"
Feb-18,"25,164"
Jan-18,"25,747"
Dec-17,"28,315"
Nov-17,"25,278"
Oct-17,"28,113"
Sept-17,"19,984"
Aug-17,"19,454"
Jul-17,"15,408"
Jun-17,"20,627"
May-17,"15,843"
Apr-17,"19,310"
Mar-17,"22,970"
Feb-17,"23,823"
Jan-17,"28,329"
Dec-16,"29,319"
